GEOID,Description,income,pop,ALAND
27001,"Aitkin, MN",632584.0,15902.0,4718433597
27003,"Anoka, MN",18135923.0,353813.0,1092919450
27005,"Becker, MN",1624774.0,34371.0,3406054658
27007,"Beltrami, MN",1947216.0,46847.0,6487155243
27009,"Benton, MN",1777074.0,40545.0,1057483355
27011,"Big Stone, MN",285475.0,4989.0,1292859684
27013,"Blue Earth, MN",2992613.0,67427.0,1936734380
27015,"Brown, MN",1330745.0,25111.0,1582706895
27017,"Carlton, MN",1544514.0,35837.0,2230766990
27019,"Carver, MN",7388388.0,103551.0,917370948
27021,"Cass, MN",1400484.0,29519.0,5235592037
27023,"Chippewa, MN",594247.0,11924.0,1505064472
27025,"Chisago, MN",2726211.0,55922.0,1074597625
27027,"Clay, MN",2761597.0,63955.0,2707051032
27029,"Clearwater, MN",387647.0,8810.0,2586701770
27031,"Cook, MN",298338.0,5393.0,3761649142
27033,"Cottonwood, MN",541094.0,11277.0,1657524495
27035,"Crow Wing, MN",2959558.0,64889.0,2585751023
27037,"Dakota, MN",25802276.0,425423.0,1456708511
27039,"Dodge, MN",999114.0,20822.0,1137724828
27041,"Douglas, MN",2037330.0,37964.0,1649183865
27043,"Faribault, MN",596308.0,13758.0,1845309110
27045,"Fillmore, MN",955563.0,21058.0,2230746819
27047,"Freeborn, MN",1394588.0,30444.0,1831823843
27049,"Goodhue, MN",2484856.0,46403.0,1960290907
27051,"Grant, MN",316442.0,6021.0,1418785987
27053,"Hennepin, MN",94077016.0,1259428.0,1434458964
27055,"Houston, MN",972625.0,18578.0,1429786025
27057,"Hubbard, MN",922290.0,21332.0,2398342769
27059,"Isanti, MN",1760473.0,39966.0,1128574114
27061,"Itasca, MN",1970544.0,45108.0,6908319602
27063,"Jackson, MN",528014.0,9911.0,1820689416
27065,"Kanabec, MN",688947.0,16207.0,1351000098
27067,"Kandiyohi, MN",2342756.0,42855.0,2065234175
27069,"Kittson, MN",236176.0,4248.0,2845915561
27071,"Koochiching, MN",521110.0,12440.0,8039869545
27073,"Lac qui Parle, MN",370770.0,6658.0,1981394517
27075,"Lake, MN",512992.0,10658.0,5462973382
27077,"Lake of the Woods, MN",215546.0,3758.0,3361462402
27079,"Le Sueur, MN",1390475.0,28494.0,1162049817
27081,"Lincoln, MN",275254.0,5673.0,1390257747
27083,"Lyon, MN",1267472.0,25629.0,1850315129
27085,"McLeod, MN",1762648.0,35873.0,1272941861
27087,"Mahnomen, MN",203927.0,5519.0,1444868073
27089,"Marshall, MN",483673.0,9390.0,4597384466
27091,"Martin, MN",990902.0,19785.0,1844928054
27093,"Meeker, MN",1016917.0,23141.0,1574889102
27095,"Mille Lacs, MN",1086916.0,26139.0,1482415014
27097,"Morrison, MN",1411923.0,33169.0,2913980720
27099,"Mower, MN",1937438.0,40011.0,1842332264
27101,"Murray, MN",453729.0,8276.0,1825063790
27103,"Nicollet, MN",1697480.0,34220.0,1161978443
27105,"Nobles, MN",988775.0,21924.0,1852084984
27107,"Norman, MN",286546.0,6475.0,2260512791
27109,"Olmsted, MN",9150699.0,156277.0,1692581423
27111,"Otter Tail, MN",2839168.0,58812.0,5107063593
27113,"Pennington, MN",785442.0,14178.0,1596928760
27115,"Pine, MN",1092854.0,29483.0,3655220987
27117,"Pipestone, MN",524760.0,9047.0,1204488112
27119,"Polk, MN",1539255.0,31529.0,5105054568
27121,"Pope, MN",578057.0,11097.0,1734134606
27123,"Ramsey, MN",30225508.0,550210.0,394246995
27125,"Red Lake, MN",206949.0,3999.0,1119929323
27127,"Redwood, MN",758361.0,15249.0,2275493333
27129,"Renville, MN",751528.0,14612.0,2545744686
27131,"Rice, MN",2933428.0,66523.0,1284215164
27133,"Rock, MN",489117.0,9414.0,1249560755
27135,"Roseau, MN",777299.0,15150.0,4329471925
27137,"St. Louis, MN",9471691.0,199754.0,16181664972
27139,"Scott, MN",8796715.0,147381.0,922683745
27141,"Sherburne, MN",4516630.0,96036.0,1121230376
27143,"Sibley, MN",700783.0,15028.0,1525073951
27145,"Stearns, MN",7516194.0,159256.0,3477861781
27147,"Steele, MN",1751958.0,36803.0,1112775685
27149,"Stevens, MN",486800.0,9753.0,1459744436
27151,"Swift, MN",479583.0,9345.0,1921871297
27153,"Todd, MN",1032575.0,24582.0,2447446073
27155,"Traverse, MN",202631.0,3308.0,1486320975
27157,"Wabasha, MN",1054639.0,21645.0,1354450835
27159,"Wadena, MN",547416.0,13773.0,1388950411
27161,"Waseca, MN",832798.0,18691.0,1096505107
27163,"Washington, MN",17607042.0,259201.0,995612473
27165,"Watonwan, MN",471906.0,10980.0,1126526388
27167,"Wilkin, MN",372211.0,6254.0,1945079891
27169,"Winona, MN",2543065.0,50825.0,1621638202
27171,"Wright, MN",6842082.0,136349.0,1712292171
27173,"Yellow Medicine, MN",560137.0,9795.0,1966062958
55001,"Adams, WI",788205.0,20348.0,1672240387
55003,"Ashland, WI",641260.0,15600.0,2706476264
55005,"Barron, WI",2232506.0,45164.0,2235229317
55007,"Bayfield, WI",730170.0,15042.0,3827694061
55009,"Brown, WI",13911922.0,263378.0,1372933176
55011,"Buffalo, WI",587419.0,13125.0,1750286266
55013,"Burnett, WI",657325.0,15392.0,2127826487
55015,"Calumet, WI",2546873.0,50159.0,824341282
55017,"Chippewa, WI",2960619.0,64135.0,2611628466
55019,"Clark, WI",1396281.0,34709.0,3133097730
55021,"Columbia, WI",2933688.0,57358.0,1982753988
55023,"Crawford, WI",675826.0,16291.0,1477970887
55025,"Dane, WI",33248816.0,542364.0,3098910897
55027,"Dodge, WI",3935426.0,87847.0,2268072980
55029,"Door, WI",1744351.0,27610.0,1248277386
55031,"Douglas, WI",1858131.0,43208.0,3378102266
55033,"Dunn, WI",1802908.0,45131.0,2201905274
55035,"Eau Claire, WI",5042772.0,104534.0,1652211289
55037,"Florence, WI",234827.0,4321.0,1264232458
55039,"Fond du Lac, WI",4960128.0,103066.0,1863666382
55041,"Forest, WI",373280.0,8991.0,2626878508
55043,"Grant, WI",2232787.0,51554.0,2970403781
55045,"Green, WI",1884355.0,36929.0,1512664663
55047,"Green Lake, WI",873107.0,18918.0,905314818
55049,"Iowa, WI",1142733.0,23771.0,1975379906
55051,"Iron, WI",292148.0,5676.0,1963699141
55053,"Jackson, WI",952797.0,20478.0,2556879426
55055,"Jefferson, WI",3936413.0,85129.0,1441239975
55057,"Juneau, WI",1008735.0,26617.0,1986622493
55059,"Kenosha, WI",7935299.0,169290.0,704110693
55061,"Kewaunee, WI",941631.0,20383.0,886951858
55063,"La Crosse, WI",5924208.0,118230.0,1170076691
55065,"Lafayette, WI",717289.0,16665.0,1640985346
55067,"Langlade, WI",832825.0,19268.0,2255098381
55069,"Lincoln, WI",1267217.0,27689.0,2275833631
55071,"Manitowoc, WI",3769889.0,79074.0,1526291642
55073,"Marathon, WI",6786424.0,135428.0,4002224342
55075,"Marinette, WI",1779669.0,40434.0,3624558763
55077,"Marquette, WI",635598.0,15434.0,1180275597
55078,"Menominee, WI*",141466.0,4658.0,926217568
55079,"Milwaukee, WI",45123754.0,948201.0,625440563
55081,"Monroe, WI",1923960.0,46051.0,2333330399
55083,"Oconto, WI",1725395.0,37830.0,2583464883
55085,"Oneida, WI",1834315.0,35470.0,2885085059
55087,"Outagamie, WI",9598668.0,187365.0,1651321056
55089,"Ozaukee, WI",7487603.0,89147.0,603510821
55091,"Pepin, WI",349590.0,7289.0,600894481
55093,"Pierce, WI",1954803.0,42555.0,1486272236
55095,"Polk, WI",2027918.0,43598.0,2367420168
55097,"Portage, WI",3255229.0,70942.0,2074264258
55099,"Price, WI",607158.0,13397.0,3247987660
55101,"Racine, WI",9779840.0,196584.0,861398471
55103,"Richland, WI",751263.0,17377.0,1518120259
55105,"Rock, WI",7210874.0,163129.0,1859964571
55107,"Rusk, WI",625277.0,14147.0,2366092053
55109,"St. Croix, WI",4981843.0,89694.0,1871121259
55111,"Sauk, WI",3107378.0,64249.0,2153686396
55113,"Sawyer, WI",757085.0,16489.0,3257216619
55115,"Shawano, WI*",1725260.0,40796.0,2313441606
55117,"Sheboygan, WI",6101981.0,115456.0,1324851063
55119,"Taylor, WI",797107.0,20412.0,2525318793
55121,"Trempealeau, WI",1315998.0,29442.0,1898472778
55123,"Vernon, WI",1242347.0,30785.0,2050135746
55125,"Vilas, WI",1184289.0,21938.0,2221453269
55127,"Walworth, WI",5188239.0,103718.0,1438568339
55129,"Washburn, WI",749734.0,15878.0,2064513839
55131,"Washington, WI",7951755.0,135693.0,1115362189
55133,"Waukesha, WI",29282988.0,403072.0,1423769192
55135,"Waupaca, WI",2332895.0,51128.0,1936513127
55137,"Waushara, WI",999724.0,24263.0,1621742033
55139,"Winnebago, WI",8226265.0,171020.0,1125846130
55141,"Wood, WI",3414820.0,73055.0,2053895941
